id,pagina,termino,ambito,nivel_rostagno,postura_oyente,cualificadores,magnitud,instrumentos_nombrados,generos_piezas,escucha_explicita,cita
50,380,trompetas,(otros),índice,registro,,,trompetas,,,"que pudiessen salir con vanderas desplegadas, cuerdas encendidas, al son de cajas y trompetas con todas sus haziendas y hato, y los embarcaron en cinquenta naues y lleuaron hasta Wesel"
51,394,trompeta,militar / señalético,índice,registro,,,trompeta,,,"Y guiendo puesto la artillería en Jugares a propósito re se ás flacos Y debilitados los muros, pidió por vn trompeta que le rindiessen la na ón ador de la ciudad el conde Hernán Vandenberghe primo carnal del code"
52,399,capilla,sacro / litúrgico,símbolo,ponderación de magnitud,,grande,,,,"El día de san Felipe y Santiago, que assistían al principe don Felipe en la capilla real los embajadores en el acompañamiento, ""el conde de Franquenburg fue al lado derecho del duque de Saboya que se passeaua con el príncipe de España, y no perdió ni cedió en cosa alguna que importasse a la autoridad del césar en este ni en otros actos semejantes, a estos cassos y a otros semejantes están sujetos los embajadores, y si hazen lo que deben correspondiendo a los officios y puestos que ocupan sus señores y principes les dan pocas o ningunas gracias por ello, y si yerrán o faltan en algo, es su culpa muy grande"
53,414,trompeta,militar / señalético,índice,registro,,,trompeta,,,"Parecía que el Verdugo auía de boluer a intentar el socorrer a los cercados, pero el Mauricio boluiendo a imbiar otro trompeta les pidió que se rindiessen a partido, prometiendo que dejaría salir libremente los soldados que estauan de guarnición, pidieron los cercados que les diesse aquella noche de tiempo para deliberar lo que les conuenía hazer, el qual se les concedió"
54,421,vísperas,sacro / litúrgico,símbolo,valoración estética,hermosíssima,muchas,,vísperas,,"'“En Madrid, la víspera de san Andrés, no obstante que su magestad estaua con muy poca salud, quiso assistir a la fiesta del Tusón de oro entre los demás caualleros de su orden, y poco antes de las vísperas se juntó con ellos en el capítulo, estando en el primer lugar debajo del dozel riquíssimo, colgadas todas las piezas de hermosíssima tapizería, y el suelo con muchas alfombras y tapetes ricos de Persia, de vn lado y otro estauan puestos bancos cubiertos de ricos tapetes y alfombras, a la mano derecha tenía el primer lugar el príncipe don Felipe, a su lado estaua don Juan de la Cerda duque de Medina Celi y en tercer lugar Juan Keuenhuller conde de Franquenburg"
55,422,vísperas,sacro / litúrgico,símbolo,registro,,,,vísperas,,"422]` fantado y marqués de Villena, auiéndole hecho las mismas preguntas, le metieron al capítulo delante de su magestad, y de la misma suerte le hizo cauallero del Tusón de oro, Vitimamlen]te, acercándose la hora de vísperas, su magestad con vna breue oración y plática se escusó que por sus achaques y falta de salud no podía assistir a ellas, que en su lugar assistiría el príncipe su hijo, supliendo su ausencia como lo auía hecho en se"
56,422,capilla,sacro / litúrgico,símbolo,ponderación de magnitud,,grande,"chirimias, trompetas",,,"mejante acto el emperador Carlos quinto, su padre, mandándole que assistiesse a él por su ausencia, Ordenadas las cosas en la forma dicha, entraron en la capilla con grande música de trompetas y chirimias el príncipe de España su hijo y los demás caualleros, delante ¡uan “el almirante y duqlue] de Medina Celi, seguíanse tras ellos el de Terranoua y el del Infantado y el marqués de Villena, luego venía al lado derecho del príncipe Joan Keuenhuller, conde de Franquenburg, y al lado izquierdo don Pedro de Médicis"
57,422,vísperas,sacro / litúrgico,símbolo,valoración estética,solemníssimas,,,vísperas,,Fueron las vísperas solemníssimas
58,422,música,sacro / litúrgico,símbolo,ponderación de magnitud,,"muchos, todo género",,,,"La comida fue real y de muchos platos regalados y exquisitíssimos manjares, con todo género de música y instrumentos mientras duraron los seruicios"
59,422,vísperas,sacro / litúrgico,símbolo,registro,,,,"missa, vísperas",,"Acabada la comida y levantadas las mesas a las dos de la tarde, boluió el príncipe con el mismo acompañamlien]to y con el mismo orden a las vísperas y el día siguiente a la missa de los difunctos"
